area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,966,2.0,2.0,49.9,Bhavani Peth
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1630,2.0,1.0,98.0,Bibvewadi
Built-up  Area,Ready To Move,3 BHK,Brway G,1640,3.0,2.0,225.0,Bopodi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,782,2.0,2.0,55.68,Budhwar Peth
Super built-up  Area,19-Apr,2 BHK,Oznuean,1260,2.0,2.0,66.78,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1800,3.0,3.0,120.0,Camp
Super built-up  Area,Ready To Move,3 BHK,Reeroce,1413,2.0,2.0,75.0,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,Sonviik,1116,2.0,1.0,51.91,Dapodi
Super built-up  Area,Ready To Move,3 BHK,DSgmax ,1530,2.0,1.0,45.9,Deccan Gymkhana
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,3700,4.0,1.0,225.0,Dehu Road
Built-up  Area,Ready To Move,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,Vaens G,1540,2.0,3.0,64.0,Dhayari Phata
Super built-up  Area,18-Dec,3 BHK,GrrvaGr,1436,3.0,1.0,74.75,Dhole Patil Road
Super built-up  Area,18-Jun,2 BHK,GrrvaGr,1100,2.0,2.0,75.0,Erandwane
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,276,3.0,3.0,23.0,Fatima Nagar
Super built-up  Area,Ready To Move,3 BHK,Moity S,1427,3.0,2.0,120.0,Fergusson College Road
Super built-up  Area,Ready To Move,3 BHK,HiahsLa,2061,3.0,1.0,200.0,Ganesh Peth
Super built-up  Area,18-Mar,4 BHK,SNontle,3067 - 8156,4.0,0.0,225.0,Ganeshkhind
Built-up  Area,Ready To Move,4 BHK,GrrvaGr,2650,4.0,2.0,150.0,Ghorpade Peth
Super built-up  Area,22-Dec,3 BHK,Sabixtt,1282,2.0,2.0,68.52,Ghorpadi
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1050,2.0,1.0,34.0,Gokhale Nagar
Built-up  Area,Ready To Move,3 BHK,Sragei ,1600,3.0,2.0,65.0,Gultekdi
Super built-up  Area,22-Jan,2 BHK,GrrvaGr,945,2.0,1.0,54.0,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,SyidaCr,1500,2.0,1.0,78.0,Hadapsar
Plot  Area,Ready To Move,7 Bedroom,GrrvaGr,950,4.5,0.0,115.0,Hadapsar Industrial Estate
Built-up  Area,Ready To Move,3 BHK,Jahts H,1870,3.0,3.0,110.0,Hingne Khurd
Plot  Area,Ready To Move,3 Bedroom,Inensba,1600,3.0,1.0,75.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,880,1.0,1.0,16.5,Kalyani Nagar
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.0,0.0,210.0,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,Srier P,1535,3.0,2.0,83.0,Karve Road
Built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2.0,1.0,57.0,Kasba Peth
Super built-up  Area,18-Aug,2 BHK,Derdsig,1360,2.0,1.0,65.0,Katraj
Super built-up  Area,19-Mar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,Khadaki
Super built-up  Area,18-May,3 BHK,GrrvaGr,1280,3.0,1.0,50.4,Khadki
Super built-up  Area,19-Jan,3 BHK,TiaksAa,1260,2.0,2.0,85.05,Kharadi
Built-up  Area,Ready To Move,8 Bedroom,GrrvaGr,5000,4.5,2.0,225.0,Kondhwa
Super built-up  Area,19-Dec,5 BHK,LedorSa,3050,4.5,1.0,213.0,Kondhwa Budruk
Super built-up  Area,Ready To Move,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1000,2.0,1.0,60.0,Koregaon Park
Super built-up  Area,17-Jul,2 BHK,ViensRK,1167,2.0,1.0,43.76,Kothrud
Super built-up  Area,Ready To Move,7 BHK,GrrvaGr,4000,4.5,2.0,225.0,Law College Road
Super built-up  Area,Ready To Move,3 BHK,Somumys,1828,3.0,2.0,110.0,Laxmi Road
Super built-up  Area,Ready To Move,2 BHK,HoiewLa,890,2.0,1.0,35.0,Lulla Nagar
Super built-up  Area,Ready To Move,3 BHK,Dwity T,1612,3.0,3.0,46.74,Mahatma Gandhi Road
Plot  Area,Ready To Move,6 Bedroom,GrrvaGr,1034,4.5,2.0,185.0,Mangalwar peth
Super built-up  Area,19-Apr,3 BHK,Brama P,1710,4.0,2.0,91.31,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,VBownre,957,2.0,1.0,58.0,Market yard
Super built-up  Area,18-May,3 BHK,GrrvaGr,1250,2.0,3.0,44.0,Model colony
Super built-up  Area,Ready To Move,3 BHK,Betatsi,2795,4.0,2.0,225.0,Mukund Nagar
Super built-up  Area,Ready To Move,2 BHK,Prcan P,1125,2.0,2.0,50.0,Mundhawa
Super built-up  Area,18-Jul,2 BHK,Sryalan,1020,2.0,1.0,30.6,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1200,2.0,2.0,50.0,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1735,3.0,3.0,135.0,Narayan Peth
Super built-up  Area,Ready To Move,3 BHK,G conTh,2050,3.0,1.0,145.0,Narayangaon
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,3750,4.0,0.0,225.0,Navi Peth
Built-up  Area,Ready To Move,3 BHK,GrrvaGr,1350,2.0,3.0,48.0,Padmavati
Super built-up  Area,18-May,2 BHK,SStusan,1063,2.0,1.0,32.0,Parvati Darshan
Super built-up  Area,Ready To Move,3 BHK,ETens G,1904,3.0,1.0,150.0,Pashan
Built-up  Area,Ready To Move,4 Bedroom,GrrvaGr,4200,4.0,2.0,225.0,Paud Road
Super built-up  Area,Ready To Move,3 BHK,Hohnari,2000,3.0,1.0,175.0,Pirangut
Super built-up  Area,18-Dec,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,Prabhat Road
Super built-up  Area,Ready To Move,3 BHK,Naods W,1425,2.0,2.0,75.0,Pune Railway Station
Super built-up  Area,Ready To Move,3 BHK,GMown E,1500,2.0,1.0,64.5,Rasta Peth
Built-up  Area,Ready To Move,2 BHK,GMown E,1060,2.0,1.0,60.0,Raviwar Peth
Built-up  Area,Ready To Move,3 BHK,Sancyra,1470,2.0,2.0,70.0,Sadashiv Peth
Super built-up  Area,Ready To Move,6 BHK,GrrvaGr,1300,4.5,0.0,99.0,Sahakar Nagar
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,450,1.0,1.0,11.0,Salunke Vihar
Super built-up  Area,18-Apr,2 BHK,Prarkun,1152,2.0,1.0,64.5,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,GMown E,1350,2.0,1.0,56.0,Satara Road
Super built-up  Area,Ready To Move,3 BHK,Srshq T,1550,3.0,3.0,65.0,Senapati Bapat Road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1500,3.0,2.0,100.0,Shaniwar Peth
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,600,3.0,2.0,85.0,Shivaji Nagar
Plot  Area,Ready To Move,1 Bedroom,GrrvaGr,400,1.0,0.0,14.0,Shukrawar Peth
Super built-up  Area,Ready To Move,1 BHK,Utntspa,705,1.0,2.0,67.0,Sinhagad Road
Built-up  Area,Ready To Move,2 BHK,GMown E,770,1.0,1.0,36.0,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Aniona ,1242,2.0,3.0,51.0,Swargate
Super built-up  Area,Ready To Move,3 BHK,Goateds,1700,3.0,2.0,155.0,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,Soitya ,2144,3.0,2.0,145.0,Uruli Devachi
Super built-up  Area,21-Jun,3 BHK,Saahaat,1704,3.0,2.0,110.0,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2.0,1.0,52.0,Wadgaon Sheri
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1846,3.0,2.0,225.0,Viman Nagar
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1340,2.0,2.0,55.7,Vishrant Wadi
Built-up  Area,Ready To Move,2 BHK,GMown E,1025,2.0,1.0,46.0,Wagholi
Super built-up  Area,Ready To Move,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,Wakadewadi
Super built-up  Area,Ready To Move,2 BHK,VRave E,1200,2.0,2.0,52.0,Wanowrie
Built-up  Area,18-Dec,4 Bedroom,GrrvaGr,2250,4.0,1.0,110.0,Warje
Super built-up  Area,Ready To Move,3 BHK,MaidoPl,1550,2.0,3.0,80.0,Yerawada
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,4.5,2.0,225.0,Alandi Road
Plot  Area,Ready To Move,7 Bedroom,GrrvaGr,1800,4.5,1.0,225.0,Ambegaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Aiitya ,1200,2.0,2.0,60.0,Anandnagar
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1327,2.0,2.0,98.0,Aundh
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1186,2.0,2.0,58.0,Aundh Road
Built-up  Area,Ready To Move,3 Bedroom,GrrvaGr,1783,3.0,1.0,115.0,Balaji Nagar
Super built-up  Area,Ready To Move,3 BHK,NRosete,1400,3.0,2.0,56.0,Baner
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,980,2.0,1.0,48.0,Baner road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1285,2.0,2.0,82.0,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,912,2.0,1.0,70.0,Bhavani Peth
Built-up  Area,Ready To Move,2 BHK,Sancya ,1225,2.0,2.0,47.6,Bibvewadi
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1075,2.0,1.0,53.0,Bopodi
Built-up  Area,Ready To Move,3 BHK,MSingco,1260,2.0,2.0,54.0,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,1282,2.0,2.0,48.7,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,Camp
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1359,2.0,1.0,87.0,Chandan Nagar
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1207,2.0,2.0,43.5,Dapodi
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1736,4.5,0.0,190.0,Deccan Gymkhana
Super built-up  Area,20-May,4 BHK,GrrvaGr,2850,4.0,1.0,225.0,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,Emstael,1595,3.0,2.0,65.0,Dhankawadi
Built-up  Area,18-Jun,3 BHK,GrrvaGr,1798,3.0,2.0,89.0,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,SNdri N,1475,3.0,2.0,78.29,Dhole Patil Road
Super built-up  Area,Ready To Move,3 BHK,HodhiSa,1580,3.0,3.0,100.0,Erandwane
Super built-up  Area,Ready To Move,2 BHK,Syonyph,1295,2.0,1.0,65.0,Fatima Nagar
Built-up  Area,Ready To Move,6 Bedroom,GrrvaGr,3600,4.5,0.0,141.0,Fergusson College Road
Super built-up  Area,Ready To Move,1 BHK,Itvir M,589,1.0,1.0,27.0,Ganesh Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1415,3.0,3.0,78.0,Ganeshkhind
Super built-up  Area,18-Dec,3 BHK,Klark L,1787,3.0,2.0,98.29,Ghorpade Peth
Super built-up  Area,Ready To Move,3 BHK,Klark L,1787,3.0,2.0,125.0,Ghorpadi
Super built-up  Area,Ready To Move,3 BHK,Piityra,1475,2.0,3.0,90.0,Gokhale Nagar
Built-up  Area,Ready To Move,4 BHK,GrrvaGr,2000,4.0,1.0,75.5,Gultekdi
Super built-up  Area,19-Mar,2 BHK,AsastDe,984,2.0,1.0,44.28,Guruwar peth
Super built-up  Area,19-Dec,3 BHK,Jurdsig,1520 - 1740,2.0,2.0,74.82,Hadapsar
Super built-up  Area,Ready To Move,3 BHK,MacleK ,2405,4.0,2.0,225.0,Hadapsar Industrial Estate
Built-up  Area,Ready To Move,2 BHK,Brnia G,1080,2.0,2.0,72.0,Hingne Khurd
Plot  Area,Ready To Move,2 Bedroom,GrrvaGr,1500,2.0,1.0,115.0,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1900,3.0,2.0,119.0,Kalyani Nagar
Super built-up  Area,19-Aug,2 BHK,GrrvaGr,805,2.0,1.0,22.14,Karve Nagar
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1153,2.0,2.0,56.4,Karve Road
Super built-up  Area,Ready To Move,2 BHK,AlEcone,1148,2.0,2.0,60.0,Kasba Peth
Super built-up  Area,Ready To Move,2 BHK,Laowsba,1110,2.0,2.0,55.0,Katraj
Built-up  Area,Ready To Move,2 BHK,Saave R,1100,2.0,2.0,42.0,Khadaki
Super built-up  Area,Ready To Move,2 BHK,Anave S,1290,2.0,2.0,110.0,Khadki
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1500,2.0,1.0,65.0,Kharadi
Super built-up  Area,18-Apr,2 BHK,GrrvaGr,1080,2.0,2.0,39.0,Kondhwa
Super built-up  Area,21-Jun,3 BHK,Saityat,1933,3.0,1.0,129.0,Kondhwa Budruk
Built-up  Area,Ready To Move,5 Bedroom,GrrvaGr,3500,4.5,2.0,150.0,Kondhwa Khurd
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1060,2.0,2.0,60.0,Koregaon Park
Super built-up  Area,18-Aug,1 BHK,SunceEs,645,1.0,1.0,16.45,Kothrud
Plot  Area,Ready To Move,8 Bedroom,GrrvaGr,2600,4.5,2.0,180.0,Law College Road
Super built-up  Area,18-Sep,1 BHK,SunceEs,645,1.0,1.0,16.45,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,SJcerpe,1644,3.0,3.0,84.0,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,Supams ,1285,2.0,3.0,72.5,Mahatma Gandhi Road
Plot  Area,Ready To Move,3 Bedroom,GrrvaGr,1200,3.0,1.0,90.0,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,CoapeSo,910,2.0,1.0,40.0,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,Bisic C,1577,3.0,1.0,70.0,Market yard
Plot  Area,17-May,3 Bedroom,Sreat R,4050,3.0,2.0,225.0,Model colony
Super built-up  Area,Ready To Move,3 BHK,Inntsa ,2420,3.0,2.0,185.0,Mukund Nagar
Super built-up  Area,Ready To Move,2 BHK,KHityry,800,1.0,1.0,20.0,Mundhawa
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1060,2.0,2.0,55.0,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1270,2.0,2.0,93.0,Nana Peth
Super built-up  Area,18-Jun,2 BHK,GrrvaGr,900,2.0,2.0,22.5,Narayan Peth
Built-up  Area,Ready To Move,2 Bedroom,GrrvaGr,1280,2.0,1.0,69.0,Narayangaon
Plot  Area,Ready To Move,4 Bedroom,GrrvaGr,1200,2.0,0.0,95.0,Navi Peth
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1025,2.0,2.0,36.0,Padmavati
Super built-up  Area,17-Jun,2 BHK,Prarkun,1108,2.0,1.0,63.0,Parvati Darshan
Plot  Area,Ready To Move,5 Bedroom,GrrvaGr,1200,4.5,2.0,170.0,Pashan
Super built-up  Area,Ready To Move,3 BHK,Calyxy ,3045,3.0,2.0,170.0,Paud Road
Plot  Area,Ready To Move,4 Bedroom,Thessrm,2900,3.0,2.0,225.0,Pirangut
Super built-up  Area,Ready To Move,3 BHK,JJortom,1500,3.0,2.0,75.5,Prabhat Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1295,2.0,2.0,43.9,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1162,2.0,1.0,59.9,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,Usquaya,1035,2.0,2.0,49.2,Raviwar Peth
Built-up  Area,Ready To Move,4 Bedroom,Natic T,1600,4.0,0.0,52.8,Sadashiv Peth
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1464,3.0,2.0,46.0,Sahakar Nagar
Super built-up  Area,18-Oct,3 BHK,DSapeSk,1866,2.0,2.0,61.58,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,Jahtsa ,700,1.0,1.0,26.0,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,Prillot,1804,3.0,2.0,120.0,Satara Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,913,2.0,1.0,32.0,Senapati Bapat Road
